stt,word,furigana,Sino-Vietnamese,meaning,example
1,人生,じんせい,nhân sinh,cuộc sống,"[['1. 幸せな人生を送る。', 'Sống cuộc sống hạnh phúc.'], ['2. 人生経験が豊富な人の話は面白い。', 'Những câu chuyện của những người có kinh nghiệm sống phong phú rất thú vị.'], ['合 ＿経験、＿観', ''], ['類 一生、生涯', ''], ['連 ＿を送る', '']]"
2,人間,にんげん,nhân gian,con người,"[['1. 人間はみんな、平等である。', 'Là con người, mọi người đều bình đẳng.'], ['2. この殺人犯に人間らしい心はないのだろうか。', 'Tội phạm giết người đó có lẽ là con người không có trái tim rồi.'], ['3. あんなの大きな失敗をした社員を首にしない、うちの社員は人間はできている。', 'Không đuổi việc một nhân viên gây ra thất bại lớn như vậy, nhân viên công ty tôi đúng là biết nhìn người.'], ['4. どんな人間かわからない人を信用してはいけない。', 'Không được tin tưởng một người khi không hiểu họ là con người thế nào.'], ['類 人類', ''], ['合 ＿らしい', ''], ['類 人、人物', '']]"
3,人,ひと,nhân,người,"[['1. 「佐藤さんという人から電話がありましたよ」', 'Có cuộc điện thoại từ  chị Satou đấy ạ.'], ['2. この店は裕福な人達が買い物に来る。', 'Những người giàu họ đến cửa hàng đó để mua sắm.'], ['3. 「若い人は元気でいいね」', 'Giới trẻ khỏe mạnh thật là tốt nhỉ.'], ['4. 人は酸素がなければ生きられない。', 'Con người không thể sống nếu không có oxi.'], ['類 人間、人類', '']]"
4,祖先,そせん,tổ tiên,tổ tiên,"[['1. 人類の祖先は、アフリカで発生したと考えられている。', 'Tổ tiên của loài người phát triển từ Châu Phi.'], ['2. うちの祖先は武士だったらしい。', 'Tổ tiên nhà tôi nghe nói là võ sĩ đấy.'], ['関 先祖、子孫', '']]"
5,親戚,しんせき,thân thích,họ hàng,"[['1. うちの親戚はみな近くで住んでいる。', 'Họ hàng nhà tôi đều sống gần đây.'], ['2. 彼女は私の遠い親戚にあたる。', 'Cô ấy là họ hàng xa với tôi.'], ['関 親類、親族', '']]"
6,夫婦,ふうふ,phu phụ,vợ chồng,"[['1. 小林さんは夫婦はいつも仲がいい。', 'Mối quan hệ của vợ chồng anh Kobayashi lúc nào cũng tốt.'], ['2. 二人は結婚して夫婦になった。', 'Hai người họ kết hôn và trở thành vợ chồng.'], ['関 夫妻、婦人', ''], ['合 ＿愛、＿仲、＿喧嘩', ''], ['連 ＿になる、お似合いの＿', '']]"
7,長男,ちょうなん,trường/trưởng nam,trưởng nam,"[['1. 日本では、長男は大事にされる傾向があった。', 'Ở Nhật Bản, trưởng nam có khuynh hướng được coi trọng.'], ['関 次男、三男、長女、次女、三女、末っ子', '']]"
8,主人,しゅじん,chủ nhân,"chồng, chủ tiệm","[['1. あのそばやの主人はまだ若いが、腕はいい。', 'Chủ cửa hàng mì Soba kia tuy còn trẻ nhưng tay nghề rất tốt.'], ['2. 犬は主人に忠実だと言われる。', 'Loài chó được cho là trung thành với con người.'], ['3. 主人に仕える。', 'Phục vụ chồng.'], ['4. 「鈴木さんのご主人をご存知ですか」', 'Anh (chị) biết chồng của chị Suzuki không?'], ['関 マスター', ''], ['対 従業員', '']]"
9,双子,ふたご,song tử,sinh đôi,"[['1. 私には双子の弟がいます。', 'Tôi có người em sinh đôi.'], ['類 双生児', '']]"
10,迷子,まいご,mê tử,trẻ bị lạc,"[['1. （アナウンス）「迷子のお知らせをいたします」', 'Thông báo tìm trẻ lạc.'], ['2. 東京駅は広くて迷子になりそうだ。', 'Nhà ga Tokyo rất rộng tưởng chừng như sẽ lạc đấy.'], ['連 ＿になる', '']]"
11,他人,たにん,tha nhân,người khác,"[['1. 友達だと思って声を掛けたら、全くの他人だった。', 'Tưởng bạn nên cất tiếng gọi nhưng là người lạ hoàn toàn.'], ['2. 他人にはわからない家族の事情がある。', 'Có những sự tình trong gia đình mà người ngoài không hiểu được.']]"
12,敵,てき,địch,kẻ thù,"[['1. 兄弟は敵と味方に分かれて戦った。', 'Anh em phân chia bên bạn bên thù đánh nhau.'], ['2. 彼女は敵に回すと怖い。', 'Đối thủ đi quanh làm cô ấy sợ.'], ['3. 敵のチームに大勝した。', 'Giành chiến thắng lớn trước đội đối thủ.'], ['4. 対戦相手は強敵だ。', 'Đối phương chiến đấu là một đối thủ mạnh.'], ['合 油断大＿、＿国、＿地、＿視する', ''], ['対 味方', ''], ['連 ＿に回す、＿味方に分けられる', '']]"
13,味方,みかた,vị phương,"bạn bè, đồng minh","[['1. 「何があっても、私はあなたの味方です」', 'Dù gặp chuyện gì đi chăng nữa, tôi vẫn là đồng minh của cậu.'], ['2. 私と弟が喧嘩すると、母はいつも弟｛の/に｝味方をする。', 'Mỗi lần tôi và em trai cãi nhau mẹ đều nói hãy làm đồng minh với em trai tôi.'], ['対 敵', ''], ['連 ＿になる、をする', '']]"
14,筆者,ひっしゃ,bút giả,tác giả,"[['1. 筆者の最も言いたいことを下から選びなさい。', 'Tác giả muốn nói điều gì nhất, hãy chọn bên dưới.'], ['2. この筆者の考え方に私は賛成だ。', 'Tôi đồng ý với cách suy nghĩ của tác giả này.'], ['関 著者、作者、作家', '']]"
15,寿命,じゅみょう,thọ mệnh/mạng,tuổi thọ,"[['1. 医学の進歩によって、人間の寿命は100年前に比べるとずいぶん伸びた。', 'Với sự tiến bộ của y học, tuổi thọ của con người so với 100 năm trước là cao hơn.'], ['2. この時計は最近よく止まる。20年も使っているから寿命が来たのだろうか。', 'Cái đồng hồ này dạo này hay bị đứng, dùng 20 năm qua chắc cũng đến tuổi thọ nó rồi đây.'], ['合 平均', ''], ['連 ＿が伸びる、＿を伸ばす、が来る', '']]"
